X,Y
83.0875831,25.4455395
83.5929034,25.9735737
77.3077232,30.1064141
82.9036309,25.4199853
82.8876662,25.4434608
82.4770137,25.4311159
83.6375424,25.4073273
82.7530334,25.6408505
82.7249039,25.6864024
82.7844115,25.2513694
82.0064387,25.4163441
82.0275318,25.5401308
82.1248563,25.5670046
82.9224928,25.3922967
82.9306905,25.3802265
82.9260368,25.387092
82.450626,25.2722332
82.3890439,25.2924192
82.3464438,25.3062911
81.8262078,25.3296188
81.851979,25.3745078
81.8480601,25.4418251
81.8293046,25.5471632
75.9216531,22.819636
75.9540151,22.8620661
76.008698,22.9411558
77.415133,23.2768245
77.4394051,23.2314335
77.4552402,23.2424856
77.4569715,23.2440822
77.4806745,23.1369141
77.2677833,23.2669057
77.4500026,23.2524793
77.4561824,23.2514226
77.4264511,23.2531277
77.4106948,23.2441062
77.3988087,23.2404371
82.9747587,25.3134861
82.8381274,25.2695195
77.9947446,27.190459
77.4013326,23.2377506
77.4010968,23.2372033
77.401425,23.2331928
77.9058891,27.1772082
82.9609478,25.2928286
82.8317151,25.2595017
82.8662223,25.2672182
77.4419121,23.2323912
77.4348283,23.2332737
77.4344808,23.2334067
82.8042031,25.3456937
82.8616812,25.4815987
82.8534961,25.4936025
82.8482294,25.5012792
77.305945,28.5732369
77.3095342,28.5725485
83.0676126,25.4195641
82.0228603,25.4110424
81.9420483,25.4233024
81.9086249,25.4333446
81.8572845,25.4403359
81.8670182,25.4610993
81.8678123,25.4607867
81.8673266,25.4616177
81.8672818,25.4645765
81.8673311,25.4645744
81.8679451,25.4721263
81.8681342,25.472122
81.8679021,25.4756474
77.6710363,27.531765
75.839662,23.2053487
77.9177155,26.0462055
78.0771578,24.0371594
77.8695488,24.5183084
77.7631669,22.6452008
77.7461335,22.6769152
77.4288194,23.2182554
77.3322616,23.2735795
79.1634618,26.6744028
78.0941914,27.8539894
78.410144,27.1383521
78.1822625,26.1912765
77.7340986,29.2775686
77.6893024,27.1059396
77.4326737,23.2310634
77.4269911,23.215903
77.4268404,23.2155284
77.4271193,23.2157344
77.4253417,23.2017992
79.1062633,26.7330252
78.9767234,26.8880641
78.8926931,26.8897392
77.3217556,28.6675949
78.0367,30.48689
78.1117247,29.9213256
79.5190875,28.9100854
77.697329,29.4775425
77.4560421,28.6652
77.6820891,29.6897412
77.6820443,29.7006895
77.6893648,29.5780724
79.1283858,29.3899106
77.3121871,28.5694086
77.3092979,28.5855272
78.0871083,30.4561024
78.0801666,30.4518541
78.0842713,30.454909
77.8513745,29.7504518
77.6815184,29.6714614
77.7297003,29.5403447
77.74719,29.4861716
77.7012766,29.4185373
77.7019732,29.406372
77.7080388,29.3717742
77.7290358,29.3094488
77.7112326,29.105987
80.9630368,26.8707127
80.996398,26.8650887
80.9964674,26.8720047
80.9925664,26.8857723
80.9817299,26.8649169
83.0844318,25.2518765
83.084372,25.2519047
83.0451095,25.2160283
83.0451551,25.215985
83.0951594,25.2633999
83.0965442,25.2629111
83.0942091,25.2695783
83.0942465,25.2696028
83.0924536,25.2815779
83.1089528,25.2733784
83.1038273,25.2735046
83.1090155,25.2732884
83.1090467,25.2732436
83.1090701,25.2732101
80.9621298,26.8478495
80.4109736,26.377203
80.3564078,26.4426783
80.420538,26.5194084
